Applicant_ID,Age,Monthly_Income_LKR,Business_Type,Utility_Bill_Late_Days,Mobile_Reload_Consistency,Digital_Literacy_Score,Community_Group_Member,Existing_Loans,Dependents,Loan_Default
1001,60,40988,0,9,0.306,69.42,0,0,4,0
1002,50,34969,2,8,0.3555,70.89,0,0,5,0
1003,36,37482,0,8,0.1544,98.26,1,0,1,0
1004,29,19760,0,22,0.05,79.38,1,2,0,1
1005,42,17475,2,14,0.1593,65.0,1,1,3,1
1006,60,33909,1,14,0.5532,69.46,1,1,4,0
1007,40,42466,1,12,0.5232,55.82,0,1,3,1
1008,44,17219,2,13,0.4006,57.46,1,0,1,0
1009,32,48957,2,16,0.2037,51.7,0,1,0,0
1010,32,17644,0,14,0.2374,54.95,0,1,2,1
1011,45,47643,1,15,0.2904,95.21,1,1,1,0
1012,57,38543,0,21,0.3715,66.24,0,1,4,1
1013,61,37471,0,10,0.3593,31.99,1,0,4,0
1014,45,42091,0,11,0.2549,83.73,0,0,2,0
1015,24,37376,1,20,0.4458,71.58,0,2,1,0
1016,43,33089,2,21,0.4171,76.12,1,1,1,0
1017,23,19817,1,9,0.2402,90.57,0,0,0,0
1018,45,50511,3,10,0.4719,91.63,0,2,2,1
1019,51,55807,0,12,0.6082,54.31,1,0,3,0
1020,59,49022,2,16,0.6368,44.2,0,2,3,1
1021,23,15000,0,23,0.4111,40.36,0,3,1,1
1022,42,37239,0,19,0.4623,65.9,0,2,2,1
1023,54,42736,0,17,0.3708,69.55,1,2,5,1
1024,33,33494,0,18,0.5382,87.48,1,0,1,0
1025,43,18885,0,11,0.1867,83.87,0,0,3,0
1026,46,43357,3,16,0.5455,69.48,1,1,3,0
1027,48,30025,0,9,0.3319,69.77,1,0,5,0
1028,49,55188,3,12,0.6616,64.94,0,0,3,0
1029,37,21912,0,10,0.443,80.8,1,1,1,0
1030,36,21373,0,9,0.3433,56.92,0,0,3,0
1031,24,28280,0,24,0.3352,60.1,1,2,1,1
1032,58,49013,2,9,0.5014,43.67,0,2,5,0
1033,28,58949,1,15,0.5189,84.3,0,2,1,1
1034,42,15000,0,20,0.2777,45.99,1,1,0,0
1035,30,28047,0,26,0.3839,66.91,0,2,1,1
1036,60,67344,2,16,0.6028,47.31,1,2,4,0
1037,39,24925,0,17,0.1578,80.62,0,1,2,0
1038,25,15000,2,14,0.4464,89.0,0,0,0,0
1039,46,26137,1,22,0.4435,64.47,0,2,1,1
1040,35,15000,0,20,0.5155,77.87,0,2,2,1
1041,30,46645,3,12,0.3093,85.33,0,1,1,0
1042,47,35055,0,18,0.3885,58.05,1,0,4,0
1043,23,15000,1,14,0.3683,72.56,0,1,0,1
1044,41,15000,0,8,0.4483,89.35,0,0,2,0
1045,49,20094,2,12,0.4146,23.07,0,2,2,1
1046,28,46780,1,18,0.231,68.76,0,3,1,1
1047,29,30146,1,14,0.419,74.36,1,0,0,0
1048,56,64697,2,18,0.7624,67.67,0,1,4,0
1049,35,45999,2,15,0.5068,91.23,0,0,1,0
1050,38,17790,0,16,0.5902,96.83,1,1,1,0
1051,57,84447,2,15,0.6676,59.07,1,0,4,0
1052,61,80445,3,13,0.7055,56.47,1,1,4,0
1053,25,15000,0,9,0.384,84.54,0,0,0,0
1054,23,15000,2,8,0.4158,72.73,0,0,0,0
1055,27,18652,3,19,0.385,60.1,0,0,1,0
1056,25,25974,2,5,0.3656,78.75,1,0,0,0
1057,50,33884,0,15,0.496,72.17,1,1,1,0
1058,39,30277,2,25,0.2975,65.78,0,0,3,0
1059,47,27570,0,17,0.6517,68.96,1,1,3,0
1060,55,60224,1,15,0.3114,31.59,0,2,3,0
1061,31,28154,0,11,0.4921,75.89,0,2,0,1
1062,57,62272,1,22,0.6625,52.18,1,2,4,1
1063,35,48733,2,21,0.3953,55.35,0,2,1,1
1064,52,15000,0,17,0.1706,67.36,1,0,4,0
1065,36,19642,3,14,0.5224,98.45,0,0,1,0
1066,29,16239,3,18,0.3711,90.87,1,1,2,0
1067,35,68970,3,15,0.5944,92.3,1,2,1,0
1068,44,39835,0,15,0.3832,77.07,0,3,1,1
1069,61,63388,1,16,0.7183,64.84,1,0,3,0
1070,42,15000,0,14,0.05,38.51,1,0,2,0
1071,37,34148,0,15,0.4418,69.5,0,0,1,0
1072,39,48274,1,14,0.6219,78.86,1,1,2,0
1073,45,51329,2,16,0.4441,74.7,0,1,2,1
1074,47,49350,1,12,0.4687,84.01,0,0,3,0
1075,46,39395,3,15,0.3334,49.25,1,1,2,0
1076,50,43323,1,15,0.4114,71.04,1,1,1,0
1077,36,15000,0,28,0.0867,54.32,0,1,1,1
1078,22,15000,3,17,0.2297,78.32,0,0,0,0
1079,46,42664,1,27,0.2886,64.14,0,2,3,1
1080,28,15000,2,16,0.4379,89.64,0,1,2,1
1081,30,36732,3,16,0.3061,88.45,1,2,0,1
1082,45,45401,3,12,0.3321,67.95,1,2,4,1
1083,22,40510,3,19,0.3446,51.77,0,0,1,0
1084,29,39973,0,9,0.2876,85.07,1,0,2,0
1085,45,41808,0,22,0.4449,61.77,0,1,2,1
1086,32,39219,2,9,0.4547,96.8,0,0,0,0
1087,38,47876,1,20,0.5434,89.29,0,2,2,0
1088,29,17988,1,10,0.4429,62.13,0,1,0,0
1089,56,42260,2,15,0.4886,65.76,1,2,4,1
1090,56,45747,3,13,0.365,66.4,1,0,3,0
1091,54,38467,0,11,0.3372,66.18,1,0,4,0
1092,26,38435,2,14,0.2654,86.64,0,1,1,0
1093,60,40990,0,12,0.2691,63.15,1,0,4,0
1094,49,60374,2,17,0.4801,86.96,0,1,1,0
1095,28,19295,2,10,0.2403,68.86,0,2,0,1
1096,30,33485,0,11,0.604,63.36,1,0,2,0
1097,29,28096,1,21,0.3646,88.95,0,1,1,0
1098,33,15000,0,16,0.5627,44.45,1,0,0,0
1099,55,46101,1,18,0.501,68.02,0,0,1,0
1100,54,50604,2,22,0.3099,66.61,1,3,3,1
1101,44,36635,2,15,0.3823,30.88,0,3,1,1
1102,45,18259,2,19,0.0946,53.88,1,1,1,0
1103,58,74321,0,16,0.5144,82.27,0,2,4,0
1104,56,48515,1,24,0.3184,35.79,1,1,5,1
1105,61,39285,2,16,0.2312,55.92,1,0,3,0
1106,43,61111,2,14,0.6811,54.24,0,0,2,0
1107,48,50060,0,19,0.5797,53.57,1,2,3,1
1108,56,29197,0,15,0.5234,84.46,1,0,3,0
1109,22,15000,1,18,0.4548,83.35,1,1,0,0
1110,56,43864,0,14,0.2244,64.94,1,1,4,0
1111,58,53259,2,16,0.3731,54.84,1,1,3,0
1112,35,39741,3,19,0.3484,50.85,0,1,0,0
1113,24,35852,0,17,0.1332,64.21,0,0,2,0
1114,22,28093,0,17,0.2867,100.0,1,0,1,0
1115,26,43401,2,21,0.3266,83.43,0,1,0,0
1116,47,41901,3,19,0.4237,52.64,1,1,3,1
1117,35,19005,0,19,0.7274,71.17,1,1,2,0
1118,60,50349,3,10,0.4227,64.56,0,1,5,1
1119,48,39765,0,8,0.4184,69.99,1,0,3,0
1120,30,15000,2,17,0.3,63.55,0,2,1,1
1121,36,22779,0,16,0.4676,47.45,1,1,3,0
1122,36,35913,2,19,0.2287,66.29,1,0,2,0
1123,47,33636,3,4,0.6685,80.0,1,1,2,0
1124,34,19906,0,14,0.3311,85.21,0,2,2,1
1125,53,58470,0,15,0.3869,67.2,1,2,3,1
1126,60,36651,0,9,0.5371,50.7,1,0,4,0
1127,53,55474,3,11,0.305,53.0,1,1,3,1
1128,25,15000,1,12,0.4454,76.82,1,0,1,0
1129,51,84611,3,7,0.7223,76.99,1,0,2,0
1130,58,45564,2,12,0.3777,70.91,1,1,2,0
1131,44,32751,0,21,0.6898,61.75,1,1,4,0
